ID,Title,Body,Course_Number,Credits,Prefix,Department,,,,,,,,,,
109,Molecular and Cellular Basis of Life,"Three hours of lecture/three hours of lab per week. The structure and function of animal, plant, and prokaryotic cells with an emphasis on DNA/RNA structure and function, control of gene expression, cell signaling, cell cycle, cell organelles and cell division. Laboratory is a multi-week project based on gene cloning and expression. Prerequisite: C or higher in 160, 161; grade of C or higher in four semester hours of CHEM or concurrent. OC",250,4,BIOL,BIOL,,,,,,,,,,
110,Ecology and Evolution,"Six hours of lecture/lab/field work per week. Emphasis is on the study of relationships between organisms and their environment and the investigation of mechanisms that drive organic evolution. Offered every spring. Prerequisites: grade of C or higher in 160 or ENVS 101, 161; grade of C or higher in MATH 130 or 230 or concurrent. Restricted to students with sophomore standing or higher. WCII",251,4,BIOL,BIOL,,,,,,,,,,
111,Special Topics,"Courses on topics of interest to biology students offered on the basis of need, interest, or timeliness. Prerequisites as determined by the instructor. Restricted to students with freshman or sophomore standing. May be repeated for credit.  See registrar's office current class schedules Web page for specific semester description.",286,4,BIOL,BIOL,,,,,,,,,,
112,Experiential Learning: Internship,"Introductory internship experience.  Internship sites are usually off campus, generally part-time, and often without pay. This introductory level experience provides the opportunity for freshmen and sophomores to gain internship experience in an area not directly related to their major, explore career options, and earn academic credit for the experience. See the office of Career Services three to six months prior to the time an internship is planned. Requires a 2.0 GPA. Students must register for credit prior to the start date of the internship. Restricted to students with freshman or sophomore standing. Graded CR/NC. ",287,12,BIOL,BIOL,,,,,,,,,,
113,Independent Study,Independent reading and/or research under  the guidance of a biology faculty member. Refer to the academic policy section for independent study policy. Independent study contract is required. May be repeated for credit.,288,4,BIOL,BIOL,,,,,,,,,,
114,Microbiology for Health Professionals,"Five hours of lecture/lab per week.  Characteristics of the eukaryotic, and prokaryotic forms; cultivation of common microorganisms; principles of microbial control and chemotherapy; introduction of host-parasite relations including the immune response; microorganisms of medical importance to humankind. Prerequisites: grade of C or higher in 114; four credits of CHEM. NS",296,4,BIOL,BIOL,,,,,,,,,,
115,"Science, Technology, and Society","Three hours lecture per week.  This upper level course will initially cover concepts in genetics and molecular biology. Using this knowledge, the students will explore the application of biotechnologies and their impact on society. Course content will center on (but not limited to) DNA fingerprinting, genetic manipulation of organisms, reproductive technologies, and the human genome project. Biotechnology regulations and ethics will also be a component of this course. Prerequisite: four credits of science.",301,3,BIOL,BIOL,,,,,,,,,,
116,Tropical Ecology,"Three hours lecture per week.  Travel to one of the world's tropical regions to experience and study tropical ecosystems firsthand. This course will introduce you to the major ecological processes, the principal flora and fauna and their evolutionary adaptations, and diverse ecosystems that constitute major tropical regions of the world. Additionally, the complex issues surrounding the conservation of biodiversity in these areas will be examined and discussed. The course is divided into two parts. The first part includes on-campus and on-line lectures, discussions, videos, and analysis of peer-reviewed research papers to introduce students to the major ecosystems, conservation issues, and biodiversity in tropical regions. The second part of the course involves travel and study in a tropical region through guided hikes, lectures, discussions, journal writings, and research projects to understand the ecology and study the biodiversity of the region. Prerequisite: grade of C or higher in 251 or concurrent. Permission of instructor required.",303,3,BIOL,BIOL,,,,,,,,,,
117,Survey of Biochemistry,Three hours lecture per week.  Investigation of the molecules and chemical reactions of life. Chemical principles are used to explore biology at the molecular level with an emphasis on biochemical and physiological  basis of nutrition. Prerequisites: C or higher in 296 and CHEM 140; or C or higher in CHEM 240. (Equivalent to CHEM 305.),305,3,BIOL,BIOL,,,,,,,,,,
118,Survey of Biochemistry,Three hours lecture per week.  Investigation of the molecules and chemical reactions of life. Chemical principles are used to explore biology at the molecular level with an emphasis on biochemical and physiological  basis of nutrition. Prerequisites: C or higher in 296 and CHEM 140; or C or higher in CHEM 240. (Equivalent to CHEM 305.),305,3,BIOL,BIOL,,,,,,,,,,
119,Limnology,Six hours of lecture/lab/field work per week. Study of inland aquatic ecosystems. Consideration is given to physical and chemical features of lakes and streams and to major groups of aquatic organisms and their interactions with each other and the physical environment. Laboratory sessions emphasize field study of local lakes and streams. Offered fall of even numbered years. Prerequisites: C or higher in 251.,310,4,BIOL,BIOL,,,,,,,,,,
